Year	Author	Title	Data Collected	Neural Network	Task	Publication Name	Volume	Issue	Pages	DOI	Url	Abstract																				
1992	"Ferrán, Edgardo A.; Ferrara, Pascual"	A neural network dynamics that resembles protein evolution	Molecular	DNN	Modeling	Physica A: Statistical Mechanics and its Applications	185	1	395-401	10.1016/0378-4371(92)90480-E	https://www.sciencedirect.com/science/article/pii/037843719290480E	"We use neutral networks to classify proteins according to their sequence similarities. A network composed by 7 _ 7 neurons, was trained with the Kohonen unsupervised learning algorithm using, as inputs, matrix patterns derived from the bipeptide composition of cytochrome c proteins belonging to 76 different species. As a result of the training, the network self-organized the activation of its neurons into topologically ordered maps, wherein phylogenetically related sequences were positioned close to each other. The evolution of the topological map during learning, in a representative computational experiment, roughly resembles the way in which one species evolves into several others. For instance, sequences corresponding to vertebrates, initially grouped together into one neuron, were placed in a contiguous zone of the final neural map, with sequences of fishes, amphibia, reptiles, birds and mammals associated to different neurons. Some apparent wrong classifications are due to the fact that some proteins have a greater degree of sequence identity than the one expected by phylogenetics. In the final neural map, each synaptic vector may be considered as the pattern corresponding to the ancestor of all the proteins that are attached to that neuron. Although it may be also tempting to link real time with learning epochs and to use this relationship to calibrate the molecular evolutionary clock, this is not correct because the evolutionary time schedule obtained with the neural network depends highly on the discrete way in which the winner neighborhood is decreased during learning."																				
1994	"Culverhouse, Pf; Ellis, Re; Simpson, Rg; Williams, R; Pierce, Rw; Turner, Jt"	"Automatic categorisation of five species of Cymatocylis (Protozoa, Tintinnida) by artificial neural network"	Images	DNN	Classification	Marine Ecology Progress Series	107		273-280	10.3354/meps107273	http://www.int-res.com/articles/meps/107/m107p273.pdf	"Photomicrographs of 5 species of Cymatocyl~s were digitised, binarised and edited by hand to remove large debris contaminating the images. An artificial neural network (back-propagation of error) was trained to categorise 201 of these specimens after pre-processing the data by Fourier transformation. Of the 299 trials which were carried out, 28% demonstrated better than 70% correct categorisation of the data used in the training sets. The best performing network learned to differentiate the training data set with an error rate of 11 U/;,. The same network gave an error rate of 18% when presented with previously unseen data. The results of training back-propagation of error networks are presented and the performance and limitations are discussed and compared with more classical morphometric and clustering techniques for the taxonomic separation of marine plankton. This automatic technique demonstrates the potential of neural network pattern classifiers for addressing the difficult taxonomic task of congeneric classification and also has wider implications for the automatic identification of field samples of marine organisms"																				
1994	"Freeman, R.; Goodacre, R.; Sisson, P. R.; Magee, J. G.; Ward, A. C.; Lightfoot, N. F.YR 1994"	Rapid identification of species within the Mycobacterium tuberculosis complex by artificial neural network analysis of pyrolysis mass spectra	Other	DNN	Classification	Journal of Medical Microbiology	40	3	170-173	10.1099/00222615-40-3-170	https://www.microbiologyresearch.org/content/journal/jmm/10.1099/00222615-40-3-170	"An artificial neural network (ANN) was trained to distinguish between Mycobacterium tuberculosis and M. bovis with averaged pyrolysis mass spectra from duplicate subcultures of four strains of each of these species, each pyrolysed in triplicate. Once trained, the ANN was interrogated with spectrum data from the original organisms (the “training set” and from 26 other mycobacterial isolates (the “ challenge set ”) of the M. tuberculosis complex (MTBC). Eight strains of M. bovis and 13 of M. tuberculosis, whether sensitive or variously resistant to antituberculosis drugs, were identified in agreement with conventional identification. Four strains of “M. africanum ” were identified as M. bovis. Of two atypical M. tuberculosis strains from South India, one was identified as M. tuberculosis and the other as M. bovis. Six strains of BCG proved heterogeneous; two gave equivocal identifications, three were identified as M. bovis and one was identified as M. tuberculosis.,"																				
1994	"Kennedy, Max J.; Thakur, M. S."	The use of neural networks to aid in microorganism identification: a case study of Haemophilus species identification	Other	DNN	Classification	Antonie van Leeuwenhoek	63	1	35-38	10.1007/BF00871729	http://link.springer.com/10.1007/BF00871729	Neural networks were evaluated as a tool for identifying microorganisms. Data from a microorganism identification table were used to train a neural network. Based on the results of identification tests the neural network could correctly identify eachHaemophilus species from a group of 13Haemophilus species.																				
1994	"Menczer, Filippo; Parisi, Domenico"	Recombination and unsupervised learning: effects of crossover in the genetic optimization of neural networks	Other	DNN	Modeling	Network: Computation in Neural Systems	3	4	423-442	10.1088/0954-898X_3_4_007	https://doi.org/10.1088/0954-898X_3_4_007	"Genetic algorithms have been successfully used for optimizing complex functions over multidimensional domains, such as the space of the connection weights in a neural network. A feed-forward layered network is used to simulate the life cycle of a synthetic animal that moves in an environment and captures food objects. The adaptation of the animal (i.e. of the network's weight matrix) to the environment can be measured by the amount of reached food objects in a given lifetime. We consider this amount as a fitness function to be optimized by a genetic algorithm over the space of the connection weights. The network can learn the weights that solve the survival task only by means of its genetic evolution. The recombination genetic operator (crossover) can be seen as a model of sexual recombination for the population, while mutation models agamic reproduction. The central problem in trying to apply crossover is the difficult mapping between the genetic code string (genotype) and the network's weight matrix (phenotype). For this reason crossover has been considered unsuitable for this kind of problem in the past. In this paper we propose a simple mapping and compare the effects of sexual versus agamic reproduction in such a problem. The results of several parametric simulations are outlined, showing that crossover actually helps to speed up the genetic learning."																				
1994	"Schneider, G; Wrede, P"	The rational design of amino acid sequences by artificial neural networks and simulated molecular evolution: de novo design of an idealized leader peptidase cleavage site.	Other	DNN	Modeling	Biophysical Journal	66	2 Pt 1	335-344	10.1016/s0006-3495(94)80782-9	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1275700/	"A method for the rational design of locally encoded amino acid sequence features using artificial neural networks and a technique for simulating molecular evolution has been developed. De novo in machine design of Escherichia coli leader peptidase (SP1) cleavage sites serves as an example application. A modular neural network system that employs sequence descriptions in terms of physicochemical properties has been trained on the recognition of characteristic cleavage site features. It is used for sequence qualification in the design cycle, representing the sequence fitness function. Starting from a random sequence several cleavage site sequences were generated by a simulated molecular evolution technique. It is based on a simple genetic algorithm that takes the quality values calculated by the artificial neural network as a heuristic for inductive sequence optimization. Simulated in vivo mutation and selection allows the identification of predominant sequence positions in Escherichia coli signal peptide cleavage site regions (positions -2 and -6). Various amino acid distance maps are used to define metrics for the step size of mutations. Position-specific mutability values indicate sequence positions exposed to high or low selection pressure in the simulations. The use of several distance maps leads to different courses of optimization and to various idealized sequences. It is concluded that amino acid distances are context dependent. Furthermore, a method for identification of local optima during sequence optimization is presented."																				
1994	"Wu, Cathy; Shivakumar, Sailaja"	Back-propagation and counter-propagation neural networks for phylogenetic classification of ribosomal RNA sequences	Molecular	DNN	Classification	Nucleic Acids Research	22	20	4291-4299	10.1093/nar/22.20.4291	https://academic.oup.com/nar/article-abstract/22/20/4291/2400427	"A neural network system has been developed for rapid and accurate classification of ribosomal RNA sequences according to phylogenetic relationship. The molecular sequences are encoded into neural input vectors using an n-gram hashing method. A SVD (singular value decomposition) method is used to compress and reduce the size of long and sparse ngram input vectors. The neural networks used are three-layered, feed-forward networks that employ supervised learning paradigms, including the backpropagation algorithm and a modified counterpropagation algorithm. A pedagogical pattern selection strategy is used to reduce the training time. After trained with ribosomal RNA sequences of the RDP (Ribosomal Database Project) database, the system can classify query sequences into more than one hundred phylogenetic classes with a 100% accuracy at a rate of less than 0.3 CPU second per sequence on a workstation. When compared to other sequence similarity search methods, including Similarity Rank, Blast and Fasta, the neural network method has a higher classification accuracy at a speed of about an order of magnitude faster. The software tool will be made available to the biology community, and the system may be extended into a gene identification system for classifying indiscriminately sequenced DNA fragments."																				
1995	"Tolstrup, N.; Toftgård, J.; Engelbrecht, J.; Brunak, S."	Neural network model of the genetic code is strongly correlated to the GES scale of amino acid transfer free energies	Other	DNN	Modeling	Journal of Molecular Biology	243	5	816-820	10.1006/jmbi.1994.1683	https://www.sciencedirect.com/science/article/abs/pii/S0022283684716834	"A neural network trained to classify the 61 nucleotide triplets of the genetic code into 20 amino acid categories develops in its internal representation a pattern matching the relative cost of transferring amino acids with satisfied backbone hydrogen bonds from water to an environment of dielectric constant of roughly 2.0. Such environments are typically found in lipid membranes or in the interior of proteins. In learning the mapping between the codons and the categories, the network groups the amino acids according to the scale of transfer free energies developed by Engelman, Goldman and Steitz. Several other scales based on internal preference statistics also agree reasonably well with the network grouping. The network is able to relate the structure of the genetic code to quantifications of amino acid hydrophobicity-hydrophilicity more systematically than the numerous attempts made earlier. Due to its inherent non-linearity, the code is also shown to impose decisive constraints on algorithmic analysis of the protein coding potential of DNA."																				
1995	"Wu, Cathy; Shivakumar, Sailaja; Lin, Hsu-Ping; Veldurti, Srinivas; Bhatikar, Yugesh"	Neural networks for molecular sequence classification	Molecular	DNN	Classification	Mathematics and Computers in Simulation	40	1	23-33	10.1016/0378-4754(95)00016-4	https://www.sciencedirect.com/science/article/pii/0378475495000164	"A neural network classification method has been developed as an alternative approach to the search/organization problem of large molecular databases. Two artificial neural systems have been implemented on a Cray supercomputer for rapid protein/nucleic acid sequence classifications. The neural networks used are three-layered, feed-forward networks that employ back-propagation learning algorithm. The molecular sequences are encoded into neural input vectors by applying an n-gram hashing method or a SVD (singular value decomposition) method. Once trained with known sequences in the molecular databases, the neural system becomes an associative memory capable of classifying unknown sequences based on the class information embedded in its neural interconnections. The protein system, which classifies proteins into PIR (Protein Identification Resource) superfamilies, showed a 82% to a close to 100% sensitivity at a speed that is about an order of magnitude faster than other search methods. The pilot nucleic acid system, which classifies ribosomal RNA sequences according to phylogenetic groups, has achieved a 100% classification accuracy. The system could be used to reduce the database search time and help organize the molecular sequence databases. The tool is generally applicable to any databases that are organized according to family relationships."																				
1996	"Boddy, Lynne; Morris, C. W.; Wilkins, M. F.; Tarran, G. A.; Burkill, P. H."	Neural network analysis of flow cytometric data for 40 marine phytoplankton species	Other	DNN	Classification	Cytometry	15	4	283-293	10.1002/cyto.990150403	https://onlinelibrary.wiley.com/doi/abs/10.1002/cyto.990150403	"Flow cytometry data (time of flight, horizontal and, vertical forward light scatter, 90° light scatter, and “red” and “orange” integral fluorescence) were collected for laboratory cultures of 40 species of marine phytoplankton, from the following taxonomic classes, the Dinophyceae, Bacillariophyceae, Prymnesiophyceae, Cryptophyceae, and other flagellates. Single-hidden-layer “back-propagation” neural networks were trained to discriminate between species by recognising patterns in their flow cytometric signatures, and network performance Was assessed using an independent test data set. Two approaches were adopted employing: (1) a hierarchy of small networks, the first identifying to which major taxonomic group a cell belonged, and then a network for that tax-onomic group identified to species, and (2) a single large network. Discriminating some of the major taxonomic groups was successful but others less so. With networks for specific groups, cryptophyte species were all identified reliably (probability of correct classification always being ≥ 0.75); in the other groups half of the species were identified reliably. With the large network, dinoflagellates, cryptomonads, and flagellates were identified almost as well as by networks specific for these groups. The application of neural computing techniques to identification of such a large number of species represents a significant advance from earlier studies, although further development is required. © 1994 Wiley-Liss, Inc."																				
